File,LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/AptPlugin.java,46,27,22,2,9,3,10,57,10,53,4,0,1.25,17,0.17,2768.18,8,4,4,4,1,126.13,3,22,1,1,126.13,0,0.5,0.25,1,6,2,508.62,2,1,0,0,0,1,5,0,0,3,0,3,122,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/build/AptBuilder.java,58,26,19,3,9,0,23,100,11,54,1,0,1,8,0.09,1560.9,1,0,6,1,0,74.6,12,10,0,1,112.17,0,0,0,0,1,1,265.89,0,1,0,0,0,0,1,0,0,0,1,2,60,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/build/JdtApt.java,81,44,35,5,12,0,25,92,11,54,3,0.38,2.67,30,0.32,7945.88,7,4,4,3,0,106.75,14,39,0,1,106.52,0,0.5,0.5,0,0,3,954.87,6,0,0,0,0,1,8,0,0,3,0,1,205,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/env/EclipseAnnotationProcessorEnvironment.java,43,11,8,0,6,0,26,136,10,51,3,0,1,4,0.02,81.67,3,0,3,3,0,141.83,16,7,0,1,159.7,0,0.5,0,0,3,1,53.75,0,2,0,0,0,1,3,0,0,1,0,4,22,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/env/EclipseAnnotationProcessorFactory.java,42,11,7,0,4,0,27,156,10,51,1,0,1,2,0.02,112.3,1,0,4,1,0,152.76,17,6,0,1,143.62,0,0.5,0,0,1,1,56.15,0,1,0,0,0,1,1,0,0,0,0,2,18,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/env/EnvironmentFactory.java,34,11,8,1,7,0,16,88,11,54,1,0,1,3,0.03,319.67,1,0,4,1,0,115.61,5,6,0,1,133.48,0,0,0,0,1,1,78.32,0,1,0,0,0,0,1,0,0,0,0,1,22,1,1
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/AnnotationProcessorFactoryLoader.java,333,241,165,39,36,7,56,415,10,53,13,0.06,3.69,151,2.05,101278,20,7,27,16,1,101.44,53,213,1,1,101.21,0,0,0.09,4,82,11,6138.89,0,9,0,0,3,0,48,0,3,4,0,25,1137,1,2
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/AptCompilationParticipant.java,200,136,94,28,34,0,30,231,14,96,8,0.06,3.12,68,1.31,58979.4,13,5,23,11,1,146.48,16,112,1,1,106.59,0,0,0.25,1,10,6,3928.95,0,5,0,0,3,0,25,0,3,3,1,5,726,1,6
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/APTDispatch.java,121,76,50,4,18,0,27,135,11,55,3,0,1.67,16,0.25,8715.87,3,0,13,3,0,117.77,12,39,0,1,117.54,0,0,0,1,3,3,741.63,0,0,0,0,0,0,5,0,0,3,0,4,151,1,4
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/APTDispatchRunnable.java,376,300,190,52,43,3,33,196,10,53,11,0.14,5,172,3.01,191561,19,8,33,12,0,133.25,26,265,0,1,93.36,0,0,0.25,5,37,20,9018.47,0,6,0,0,1,0,55,0,1,5,1,17,1529,0,4
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/AnnotationDeclarationImpl.java,58,36,24,2,10,0,12,65,10,53,6,0,1,16,0.13,1705.45,6,0,8,6,0,140.45,2,27,0,1,140.45,0,0.5,0,0,6,1,388.48,3,2,0,0,0,1,6,0,0,4,2,2,110,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/AnnotationElementDeclarationImpl.java,73,45,31,5,12,0,16,107,10,53,7,0,1.14,20,0.17,2428.79,7,0,12,7,0,139.74,6,32,0,1,139.74,0,0.5,0,0,7,2,504.16,4,4,0,0,0,1,8,0,0,3,1,1,136,1,0
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/AnnotationMirrorImpl.java,396,321,211,82,37,1,38,254,10,53,23,0,3.74,202,3.37,220728,26,3,18,23,1,155.65,29,302,1,1,105.65,0,0,0.33,6,68,20,10107.2,0,11,0,0,0,0,86,0,0,12,2,14,1815,1,3
org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/AnnotationValueImpl.java,182,123,74,19,17,5,42,250,10,53,9,0.22,1.67,66,0.81,31775.1,14,5,9,9,0,111.66,37,113,0,1,111.42,0,0,0.4,1,0,7,2439.88,0,5,0,0,0,0,15,0,0,4,2,13,490,1,1
